CustomerID,Recency,Frequency,Monetary,Cluster_KMeans,Cluster_GMM,Prob_max_GMM
12346,326,1,77183.6,1,6,0.9997241213795817
12347,2,7,4310.0,1,5,0.9034266375766282
12348,75,4,1797.24,1,7,0.9999233693002274
12349,19,1,1757.55,0,0,0.9999973608001513
12350,310,1,334.4,0,0,0.9999999768295831
12352,36,8,2506.04,1,5,0.5558925987501768
12353,204,1,89.0,0,0,0.9999999984491867
12354,232,1,1079.4,0,0,0.9999992494940811
12355,214,1,459.4,0,0,0.99999994857072
12356,23,3,2811.43,1,3,0.9999787421322046
12357,33,1,6207.67,1,0,0.9991300312647955
12358,2,2,1168.06,1,4,0.9999997129661795
12359,58,4,6372.58,1,7,0.9992205859824805
12360,52,3,2662.06,1,3,0.9999754999844955
12361,287,1,189.9,0,0,0.9999999936755981
12362,3,10,5226.23,1,1,0.9703006311662039
12363,110,2,552.0,0,4,0.9999994281113588
12364,8,4,1313.1,1,7,0.9998912609008477
12365,291,2,641.38,0,4,0.9999994318962482
12367,4,1,168.9,0,0,0.9999999977120121
12370,51,4,3545.69,1,7,0.9999070904163128
12371,45,2,1887.96,0,4,0.9999935577125718
12372,72,3,1298.04,0,3,0.9999882205936305
12373,311,1,364.6,0,0,0.9999999711677501
12374,25,1,742.9300000000001,0,0,0.999999868720576
12375,11,2,457.5,0,4,0.9999995460643984
12377,315,2,1628.12,0,4,0.9999953944954533
12378,130,1,4008.62,0,0,0.999860001346888
12379,82,2,852.24,0,4,0.9999990114036864
12380,22,4,2724.81,1,7,0.9999414503980646
12381,5,5,1845.31,1,2,0.999170106237384
12383,185,5,1850.56,1,2,0.9993329760299987
12384,29,2,585.27,0,4,0.9999993633192867
12386,338,2,401.9,0,4,0.9999997222853158
12388,16,6,2780.66,1,5,0.8543585751012794
12390,80,1,549.84,0,0,0.9999999274708724
12391,22,1,460.89,0,0,0.999999969183726
12393,72,4,1582.6000000000001,1,7,0.9999166245177243
12394,64,2,1272.48,0,4,0.9999978731963356
12395,19,12,3018.63,1,1,0.9852743549321532
12397,36,2,2409.9,1,4,0.999985445241229
12398,46,1,1635.6599999999999,0,0,0.9999973935182151
12399,119,4,1108.65,0,7,0.9999270768387805
12401,303,1,84.3,0,0,0.9999999984789207
